k,burst,wallet,ok,sendMs,miningMs,totalMs,gasUsed,blockNumber
50,0,0x84505bc7b4a0DC810B08751920Bf457729A62f6B,0,,,16708.41,,
50,0,0x29a54cEE9547Ef787034567391D2B3AF8f1E2A50,0,,,16683.25,,
50,0,0xAeAE931031E2FF6120D555BDF6212021Dd9E844c,0,,,16659.49,,
50,0,0xb536E4FdF6542513BF32FCDc3Be59B2DEDe4ea81,0,,,16632.78,,
50,0,0x7944216BE15297371F32E04A2A9Dc7a2B7E856De,0,,,16608.81,,
50,0,0xada303f0B657E05B7565FEeB6895be2f72b41a86,0,,,16585.38,,
50,0,0xFb6922D1Eb51178a87E89b13633b40D754654552,0,,,16586.67,,
50,0,0x341949BA61696B97873959903832b39157C20852,0,,,16562.90,,
50,0,0x5f477249301E26761388972513798A4D3511155e,0,,,16538.31,,
50,0,0x88fcA509b50874fe638eeaB02B173cf1689F2835,0,,,16513.55,,
50,0,0x52fddd283Af97cd8F511fc30d49A0b06E4648bA0,0,,,16488.40,,
50,0,0xDFB11e087Ef8495d61be5028e1a720783D71D9AB,0,,,16458.79,,
50,0,0x46c078872B5c5c38dBA3e9E3f049dc341307524d,0,,,16433.05,,
50,0,0xA37d54a0391A317281d782a12F6D2375e9BDAA3f,0,,,16440.71,,
50,0,0x01a698965cd5415b6F02d76B405DA0558Be82cEa,0,,,16416.20,,
50,0,0x8dd2E72B27241fb2aB37DEBa84A501B08aFD29eb,0,,,16391.00,,
50,0,0xAED75eAE61C8D62BA917D40E120A5d8b9Ed13A6E,0,,,16364.87,,
50,0,0x9681071c523E88044929A4c3050928d0B3B5391E,0,,,16337.60,,
50,0,0xE4B4CF75fb3899cfabf538EE1a6B50dc629b34a1,0,,,16312.54,,
50,0,0xd04819bB6a6d55df3AF2932B03593E2e6792B5E3,0,,,16289.23,,
50,0,0x234f2272c11BB1D5DDb08E77D3A49E90b0A540c0,0,,,16292.33,,
50,0,0x2A945d92a9031f0C5F549806F81E79813D5528eB,0,,,16295.72,,
50,0,0x596b462a9606c96F75cD4c4E0DB94f9d929dE9d2,0,,,16271.41,,
50,0,0xBD89C58F4897f9353894d96D331BbC61573E2b84,0,,,16249.05,,
50,0,0xE4254Bd8f742f3Ba8A5A05663a050f2CBCf3957D,0,,,16294.09,,
50,0,0xd6B5a1CEABEf5CED09eb9F3c565A44c0b5A944FC,0,,,16269.26,,
50,0,0x153370b30D801a8C3b08DAB75522256eAd5Ba228,0,,,16244.64,,
50,0,0x0188D240f7Ae17b030690c17bFb47c3b081DBD6d,0,,,16218.51,,
50,0,0x143323b3c0002169AE5703ce247f7CE4dEB1245D,0,,,16218.66,,
50,0,0xB151e3f31dfC05Eb29725621c449480e3470Ac1A,0,,,16193.60,,
50,0,0xF989552f7C6f9D72c53E13123A70b5C589713f29,0,,,16168.49,,
50,0,0xFE470270D8b63a360dc546428173c18704fABe47,0,,,16146.12,,
50,0,0xf4Dac2cE5E9d353F7c2c2A3f76723e949ed5bC71,0,,,16120.86,,
50,0,0xd652264fE3Ad99E9eFc7c6861eb19dA0D8c81818,0,,,16095.80,,
50,0,0x229538d651d7f353a51a178b777f040B550588e9,0,,,16070.55,,
50,0,0x06c1FEeC581DC747296BD62EBbB44b3AAbCEA900,0,,,16097.54,,
50,0,0xDDE94eB77926F0E705Eec9dc8c195af869455806,0,,,16069.94,,
50,0,0xD203399561c477e84753623c89BAaDfb454bBc32,0,,,16110.06,,
50,0,0x6241edF83A5EC5079416C680ea81997177dE9010,0,,,16115.26,,
50,0,0x1C167f45e77c68BeE30a8D360bd7566E69cd32eA,0,,,16088.21,,
50,0,0x5a2Af5555e53fE68a4a7dad574C7162675809f8e,0,,,16061.05,,
50,0,0x223d58f55A0A55593059944702B81a2C52e6e084,0,,,16033.57,,
50,1,0xA9F4f81ed7CAf02c43834B6984dcC15ed3FF7912,1,1251.51,15132.51,16384.02,3084424,44401112
50,1,0x44C5Df7465E2ADCE50eAD2e6773d14bd391d12Aa,1,1482.75,15214.23,16696.98,3084412,44401112
50,1,0xb61F6ddEe17A84C415E64F2934A9721e1d20074E,1,1182.62,15646.91,16829.53,3084424,44401112
50,1,0xB0FB545D5B4E86Ae0a6C92F6C670511F7930eEfa,1,1258.54,15593.96,16852.50,3084424,44401112
50,1,0x8b32a4195Fe6b036AcE5b1fF93512a4e11B8aa1b,1,959.02,16042.81,17001.83,3084424,44401112
50,1,0x52c02e89991d37b4E5EDC88232d201a77E250F4e,1,1155.21,16066.63,17221.84,3084424,44401112
50,1,0x1472868c459656bEa7De8Bdb8644Ad21E7685C13,1,1380.04,16069.47,17449.51,3084424,44401113
50,1,0xC98b6A7BB52BCf7D92e003604d843C6C1d1e9a83,1,1080.55,16511.14,17591.69,3084424,44401113
50,1,0x84505bc7b4a0DC810B08751920Bf457729A62f6B,1,1128.61,16623.29,17751.90,3084412,44401113
50,1,0x29a54cEE9547Ef787034567391D2B3AF8f1E2A50,1,1353.48,16606.47,17959.95,3084424,44401113
50,1,0xAeAE931031E2FF6120D555BDF6212021Dd9E844c,1,1053.27,17037.96,18091.23,3084424,44401113
50,1,0xb536E4FdF6542513BF32FCDc3Be59B2DEDe4ea81,1,1253.87,16971.66,18225.53,3084412,44401113
50,1,0x7944216BE15297371F32E04A2A9Dc7a2B7E856De,1,1525.04,16789.05,18314.10,3084424,44401113
50,1,0xada303f0B657E05B7565FEeB6895be2f72b41a86,1,1225.36,17093.33,18318.69,3084424,44401113
50,1,0xFb6922D1Eb51178a87E89b13633b40D754654552,1,1540.34,17030.91,18571.25,3084412,44401114
50,1,0x341949BA61696B97873959903832b39157C20852,1,1240.35,17474.33,18714.68,3084424,44401114
50,1,0x5f477249301E26761388972513798A4D3511155e,1,1553.72,17150.53,18704.26,3084424,44401114
50,1,0x88fcA509b50874fe638eeaB02B173cf1689F2835,1,1254.10,17581.69,18835.78,3084424,44401114
50,1,0x52fddd283Af97cd8F511fc30d49A0b06E4648bA0,1,1366.98,17456.04,18823.01,3084424,44401114
50,1,0xDFB11e087Ef8495d61be5028e1a720783D71D9AB,1,1066.73,17741.34,18808.07,3084424,44401114
50,1,0x46c078872B5c5c38dBA3e9E3f049dc341307524d,1,1261.47,17705.79,18967.25,3084424,44401115
50,1,0xA37d54a0391A317281d782a12F6D2375e9BDAA3f,1,1385.27,17727.19,19112.46,3084412,44401115
50,1,0x01a698965cd5415b6F02d76B405DA0558Be82cEa,1,1084.86,18013.91,19098.77,3084412,44401115
50,1,0x8dd2E72B27241fb2aB37DEBa84A501B08aFD29eb,1,1400.32,17851.65,19251.98,3084424,44401115
50,1,0xAED75eAE61C8D62BA917D40E120A5d8b9Ed13A6E,1,1100.14,18139.53,19239.66,3084412,44401115
50,1,0x9681071c523E88044929A4c3050928d0B3B5391E,1,1293.07,18092.39,19385.46,3084424,44401115
50,1,0xE4B4CF75fb3899cfabf538EE1a6B50dc629b34a1,1,1525.58,18014.41,19539.99,3084424,44401116
50,1,0xd04819bB6a6d55df3AF2932B03593E2e6792B5E3,1,1225.86,18454.82,19680.69,3084424,44401116
50,1,0x234f2272c11BB1D5DDb08E77D3A49E90b0A540c0,1,1298.82,18401.74,19700.56,3084424,44401116
50,1,0x2A945d92a9031f0C5F549806F81E79813D5528eB,1,998.36,18834.44,19832.81,3084424,44401116
50,1,0x596b462a9606c96F75cD4c4E0DB94f9d929dE9d2,1,1248.41,18904.40,20152.81,3084424,44401116
50,1,0xBD89C58F4897f9353894d96D331BbC61573E2b84,1,948.07,19194.90,20142.96,3084424,44401116
50,1,0xE4254Bd8f742f3Ba8A5A05663a050f2CBCf3957D,1,1151.12,19316.67,20467.79,3084424,44401116
50,1,0xd6B5a1CEABEf5CED09eb9F3c565A44c0b5A944FC,1,1368.91,19093.18,20462.10,3084424,44401117
50,1,0x153370b30D801a8C3b08DAB75522256eAd5Ba228,1,1068.02,19535.06,20603.07,3084424,44401117
50,1,0x0188D240f7Ae17b030690c17bFb47c3b081DBD6d,1,1257.07,19494.48,20751.55,3084424,44401117
50,1,0x143323b3c0002169AE5703ce247f7CE4dEB1245D,1,1487.64,19425.92,20913.56,3084424,44401117
50,1,0xB151e3f31dfC05Eb29725621c449480e3470Ac1A,1,1187.69,19871.45,21059.14,3084412,44401117
50,1,0xF989552f7C6f9D72c53E13123A70b5C589713f29,1,1558.47,19487.57,21046.04,3084424,44401117
50,1,0xFE470270D8b63a360dc546428173c18704fABe47,1,1257.58,19930.40,21187.98,3084424,44401117
50,1,0xf4Dac2cE5E9d353F7c2c2A3f76723e949ed5bC71,1,1445.54,19755.37,21200.91,3084424,44401118
50,1,0xd652264fE3Ad99E9eFc7c6861eb19dA0D8c81818,1,1712.27,19475.84,21188.10,3084424,44401118
50,1,0x229538d651d7f353a51a178b777f040B550588e9,1,1412.71,19911.03,21323.74,3084412,44401118
50,1,0x06c1FEeC581DC747296BD62EBbB44b3AAbCEA900,1,1111.69,20389.13,21500.82,3084424,44401118
50,1,0xDDE94eB77926F0E705Eec9dc8c195af869455806,1,1311.52,20181.25,21492.77,3084424,44401118
50,1,0xD203399561c477e84753623c89BAaDfb454bBc32,1,1454.11,20196.67,21650.78,3084424,44401118
50,1,0x6241edF83A5EC5079416C680ea81997177dE9010,1,1154.16,20813.35,21967.51,3084424,44401118
50,1,0x1C167f45e77c68BeE30a8D360bd7566E69cd32eA,1,1259.53,20849.83,22109.36,3084424,44401119
50,1,0x5a2Af5555e53fE68a4a7dad574C7162675809f8e,1,960.28,21296.29,22256.58,3084424,44401119
50,1,0x223d58f55A0A55593059944702B81a2C52e6e084,1,1149.45,21093.99,22243.45,3084424,44401119
50,2,0xA9F4f81ed7CAf02c43834B6984dcC15ed3FF7912,1,1519.57,30211.34,31730.92,3084424,44401134
50,2,0x44C5Df7465E2ADCE50eAD2e6773d14bd391d12Aa,1,1218.94,30497.69,31716.62,3084424,44401134
50,2,0xb61F6ddEe17A84C415E64F2934A9721e1d20074E,1,1461.84,30403.81,31865.65,3084412,44401134
50,2,0xB0FB545D5B4E86Ae0a6C92F6C670511F7930eEfa,1,1161.80,30691.74,31853.55,3084424,44401134
